评论内容,性别,点赞数量,回复时间,tags,emotions
试图滋醒一个张嘴接尿的人？,保密,42,2020-04-11 13:18:20,0,悲伤/痛苦
特朗普:我就要当不一样的，我将是第一个给罢免的,男,660,2019-11-17 15:13:36,0,惊讶/震惊
"无内👻，发点特朗普笑话
“移民会带来暴力、犯罪和毒品”
特朗普说道
“我知道啊”
印第安人说道",保密,392,2019-11-17 15:15:56,0,愤怒/生气
我特别喜欢特朗普，真心希望他能在干两届，千万不能被弹劾,男,193,2019-11-17 15:17:08,0,愤怒/生气
别的都是看风头不对，溜了溜了。建国同志就不一样了，不仅不溜，甚至还想把对方踢走,男,170,2019-11-17 15:17:08,0,愤怒/生气
尼克松其实可以算弹劾被罢免了，出了那种事，不主动辞职肯定要被弹劾下来,男,124,2019-11-17 15:17:44,0,愤怒/生气
"特朗普:没有比我过的更惨的总统了！
林肯&肯尼迪:你过的还行呀。",保密,80,2019-11-17 15:25:28,0,悲伤/痛苦
"都是权力惹的祸，我有对川普最好的策略：
川普可以把美国分6份：
1.由共和党领导的美国中北部地区，面积大约占美国2/3，人口占美国20%-25%，由建国同志领导
2.由民主党一部领导的美国东海岸：面积占美国1/5，人口占美国15%，由佩罗西领导
3.由民主党二部领导的美国西海岸：面积占美国1/5，人口占美国15%，由拜登领导
4.由墨西哥裔组成的美国南部地区，面积占美国1/5，人口占美国35%-40%，自由选举产生领导人
5.夏威夷以及附近岛屿，面积人口忽略不计，自由选举产生领导人
6.阿拉斯加极寒地区，面积人口忽略不计，自由选举产生领导人
这样你们就不用争了[画风突变][画风突变]",男,70,2019-11-17 15:44:53,1,悲伤/痛苦
科普一下历届美国总统“三大门” 尼克松“水门” 里根 “伊朗门” 克林顿 “拉链门”  除了以上以外还有“虐囚门” “棱镜门” “邮件门” “通俄门”等等…[doge][吃瓜],男,59,2019-11-17 15:57:11,0,愤怒/生气
只要大资本们还支持，一般就不会有事（￣▽￣）,男,50,2019-11-17 15:13:52,0,厌恶/讨厌
[doge]目前情况是民主党利用众议院推动弹劾调查，但是，只要共和党还站在老特一边，老特就没啥好担心的，弹劾调查最后还要在参议院通过的，这块算是共和党地盘了。弹劾什么的都是假的，为了明年大选的党争是真,男,42,2019-11-17 15:29:35,0,平静/冷静
感觉不可能成功，并且大概率川普会连任，毕竟川普干的事为那些金主赚了不少。而且，说实在的川普的一些政策可是为美国政府军方赚了不少。,保密,34,2019-11-17 15:47:38,0,恐惧/害怕
"天台上，一个满头金发的老人扶着栏杆，遥望着东方，嘴里操着一口奇怪的普通话喃喃的念道：散年又散年，窝已经做到了老打的位置，连普通话都快忘了怎么说，到底什么时候才能回家，呲上一口正宗的蛋炒饭。这时，电话铃声突然响起，抬手接通，电话那头传来了一个熟悉的声音：洞拐洞拐，这里是黄河一号，有内鬼，停止任务，你的身份已暴露，请速撤离！请速撤离！喂，建国同志，你听到了嘛？建国同志？！
    金发老人想回答，可是已经说不出话来，数把M416不知什么时候已经顶在了他的后背和胸前，一个面目狰狞的老妇款款行至川建国面前，得意的道：特没谱，不，是川建国，从大选输给你的那天起，我就知道，我输给的不是你一个人，而是一个组织，一个强大阴险的国家机器！没想到他们的人居然能潜伏到总统的位置！
    谢谢你，希拉外，这是我第一次在这片陌生的土地上听到有人叫我的真名，金发老人惨笑道。眼神中平日故意伪装出的愚蠢和迷离已经消失不见，只剩下释然和解脱的神色。
    跟我们走一趟吧，我相信议会的先生们很愿意听听总统先生亲自讲讲他是怎么一步步走到这个位置的，期间到底有多少人给你提供过帮助，或者说你们到底还潜伏了多少人！希拉外抿着嘴唇，高傲的说到。
    不，你无法从一个死人嘴里得到任何情报，川建国笑了笑，此时的他似乎找回了平时的感觉，笑的像个老不正经的花花公子。什么？！还没有等希拉外做出反应，川建国已经矫健的从天台翻出，像只飞鸟般张开双手，飞向他朝思暮想的家乡。轰的一声巨响，建国已经落地，从一百多米高的帝国大厦落下，再无生机。他的身下是一滩刺目的血，嘴角却带着笑，慈祥而平静，只有胸前的红领带被鲜血染得血红，像是一团永不熄灭的火焰。
    天台上，希拉外望着这一幕，目瞪口呆，不可置信的喃喃自语道：这个疯子，到底是什么，让你可以舍弃美利坚给你的荣华富贵和至高权力，甚至连自己的生命都可以抛弃的如此轻松，一个国家可以派出这么多这样的人，太疯狂，太可怕了。
    电话那头一直没有挂断，听到这声巨响，已经明白了一切，沉默了片刻，一个声音颤抖着轻声说道：任务已结束，建国同志，欢迎回家。",男,19,2019-11-17 18:20:13,0,愤怒/生气
为森么弹劾？有精神病的四等马润狙击手不比弹劾香吗？[doge],保密,19,2019-11-17 15:36:32,0,愤怒/生气
芝麻的大事，川皇会放在眼里吗？2020美国依然是川普的美国,保密,16,2019-11-17 16:46:06,0,悲伤/痛苦
希拉里这老巫婆自己都被绿爽了还有碧莲操控基金会到处利用自媒体推广田园女拳[吐] 关键是一群无脑货还深信女装大佬之妻的各种[嫌弃],保密,14,2019-11-17 18:20:18,0,悲伤/痛苦
我支持共和党和民主党打一架[滑稽][滑稽]为了自由！！！奥利给！！！,男,11,2019-11-17 15:44:13,0,悲伤/痛苦
川建国辛苦了！,男,11,2019-11-17 15:13:21,0,悲伤/痛苦
这次只是民主党在起哄而已，参院被共和党把持，根本不可能通过,男,10,2019-11-17 16:39:57,0,厌恶/讨厌
民主党明智弹劾不可能成功，非要整出来恶心建国一下,保密,9,2019-11-17 16:21:00,0,愤怒/生气
真·没有人比我更懂弹劾[doge],保密,9,2019-11-17 15:13:55,0,恐惧/害怕
多久没听他这么流畅地说完一段话了[笑哭],女,172,2024-02-28 14:59:25,0,厌恶/讨厌
看起来像ai合成的，只有眼睛和嘴、下巴是在动的，其它表情肌肉完全没动[笑哭],保密,123,2024-02-28 15:02:10,0,厌恶/讨厌
老毕登一个连自己儿子什么时候死的都不记得的人也好意思笑懂王，人家老婆那么多一下子没想起来不是很正常[doge],保密,88,2024-02-28 15:30:16,0,愤怒/生气
这是加语速了,保密,51,2024-02-28 16:24:22,0,平静/冷静
你看败灯就不一样 败灯先生不太记得你的名字 但他一直记得你老婆的名字[阴险],男,44,2024-02-28 14:57:42,0,希望/期待
题词卡要配合他的老花程度和阅读能力[doge],保密,26,2024-02-28 16:26:18,1,愉快/幸福
比ai明星体验还假[吃瓜],保密,23,2024-02-28 15:09:46,1,悲伤/痛苦
"我不知道这是在嘲笑谁[吃瓜]
可能稀宗意识已经回到8岁了",男,19,2024-02-28 14:43:48,0,愤怒/生气
再怎么老至少也没老年痴呆呀[doge],保密,15,2024-02-28 14:55:26,0,平静/冷静
拜登：～刚～满～8～1～岁～[doge],保密,10,2024-02-29 10:35:00,1,愉快/幸福
怎么感觉在眯着眼看提词器啊[doge],男,9,2024-03-01 18:39:46,0,愉快/幸福
特朗普：我很困惑,保密,7,2024-02-29 15:35:55,1,希望/期待
败灯的无耻双标就人类之耻。,保密,5,2024-02-28 17:38:17,0,恐惧/害怕
还好没拉裤兜子,男,4,2024-02-28 16:24:00,0,厌恶/讨厌
特朗普说什么话都搞笑，相反的，再有意思的笑话从拜登嘴里说出来都不好笑了[呆],保密,2,2024-03-15 00:44:48,0,厌恶/讨厌
它还嘲笑特朗普，真生硬阿[鸡腿],保密,2,2024-02-29 10:21:29,0,悲伤/痛苦
视频是不是加速了  老登语速这么快？[doge],男,1,2024-03-11 21:16:04,0,愤怒/生气
哈哈哈哈哈哈,保密,1,2024-02-29 13:24:59,0,愉快/幸福
放出来口齿最清晰的一段？[吃瓜],保密,0,2024-03-22 22:15:46,1,平静/冷静
想你了，牢登,男,0,2024-03-15 11:26:37,0,恐惧/害怕
"问：你能说出一个最短的🇺🇸笑话吗？
答：“人权”。",保密,1452,2020-06-02 20:08:27,0,厌恶/讨厌
👴：fake video 👐,男,784,2020-06-02 16:25:51,0,厌恶/讨厌
全世界难道不是一直笑话你吗[疑惑],保密,563,2020-06-02 20:36:11,0,厌恶/讨厌
短时清醒,男,359,2020-06-02 17:15:26,1,恐惧/害怕
China！China!China![doge][doge],保密,163,2020-06-02 20:36:10,0,愉快/幸福
笑话漂亮国是一方面，主要是笑话你[doge],男,95,2020-06-02 19:48:09,0,平静/冷静
[doge]美国让全世界忘记了美国的疫情,保密,79,2020-06-02 16:49:12,0,愉快/幸福
"从来就没有什么救世主 ，也不靠神仙皇帝
要创造人类的幸福， 全靠我们自己。",保密,47,2020-06-02 21:49:43,0,厌恶/讨厌
"他们在嘲笑我们
怎么嘲笑的？
他把我们干的事重复了一遍
[doge]",保密,39,2020-06-02 21:25:50,0,愤怒/生气
建国同志，任务进入攻坚克难时期了，坚持住，想家了就看看照片吧[tv_doge],保密,20,2020-06-02 20:14:35,0,愉快/幸福
[点赞]你说对了,保密,18,2020-06-02 20:08:40,0,厌恶/讨厌
不，没笑话美国，我们就笑你了[吃瓜][呲牙],男,16,2020-06-02 21:26:31,0,愤怒/生气
川普暴露时，没有一颗西兰花是无辜的[微笑],保密,12,2020-06-02 22:11:51,0,厌恶/讨厌
全世界不是在笑话你们，而是在笑话你！,保密,8,2020-06-02 21:52:42,0,愤怒/生气
"🤲没有人
🤲比我
👌更懂
☝️视频
It's a fake video![doge][doge][doge]",男,7,2020-06-02 21:03:39,0,悲伤/痛苦
我觉得美国警察们为了个人安全还是今早加入革命军吧[doge],保密,6,2020-06-02 22:22:14,1,悲伤/痛苦
川普:在?懂?[doge],保密,5,2020-06-02 20:47:37,0,悲伤/痛苦
没有，没有，我们很善良的，怎么会笑话自由灯塔国呢！我们只是来看看风景而已！,保密,5,2020-06-02 20:39:09,1,愉快/幸福
把们去掉，就嘲笑你呢,保密,4,2020-06-02 20:13:48,0,厌恶/讨厌
刚开始还不相信是懂王，直到那一句terrible[偷笑],男,3,2020-06-03 21:26:41,0,愤怒/生气
峰回路转,保密,6,2024-03-26 22:27:08,1,羞耻
看标题我还以为这几天的MAGA捐款捐的，真实社交竟然上市了[妙啊],保密,3,2024-03-27 00:54:25,0,愉快/幸福
川普是唯一是当美国总统后资产减少的，这一下也赚了[吃瓜],保密,3,2024-03-26 21:56:44,0,悲伤/痛苦
遥遥快开个人账号[打call],保密,1,2024-03-28 19:35:01,0,悲伤/痛苦
MAGA把川普当精神领袖怎么会看他破产呢？,保密,1,2024-03-28 01:19:45,0,恐惧/害怕
美图秀秀或成最大赢家,男,12349,2017-01-23 17:01:13,0,平静/冷静
麻蛋，别的不学，学邪术,保密,10326,2017-01-23 16:50:08,0,厌恶/讨厌
老外最惊奇的是美图秀秀不要钱[2233娘_汗],保密,6690,2017-01-25 10:26:52,0,恐惧/害怕
你们要搞事情哦，竟然刷屏(｀・ω・´),保密,2810,2017-01-23 16:49:55,0,恐惧/害怕
可能是单身久了，看川普都觉得眉清目秀,保密,1993,2017-01-26 01:21:20,0,悲伤/痛苦
说崇拜白人才p白的怕不是不知道中国自古都以白为美，冰肌玉肤肤若凝脂等词语都是夸赞皮肤白的，没文化真可怕（￣▽￣）,保密,2682,2018-03-25 09:27:37,0,厌恶/讨厌
特朗普变成希拉里系列,保密,759,2017-01-31 22:24:35,0,羞耻
东方4大邪术：中国的P图术 日本的化妆术 韩国的整形术  泰国的变性术(=・ω・=),保密,570,2017-11-16 02:42:04,0,愤怒/生气
我担心他们会根据这个原理发明出更高大上的p图软件再卖到中国来，然后美图秀秀在跟风模仿回来....(°∀°)ﾉ呃杞人忧天了我是不是,女,425,2018-05-14 20:30:43,0,厌恶/讨厌
都是美白的美国黑人会不会告我们种族歧视 233 →_→,保密,321,2017-01-23 20:26:40,0,愤怒/生气
以后加个美黑功能吧，美图都被起诉种族歧视了(｀・ω・´),女,308,2017-01-30 14:15:57,0,悲伤/痛苦
"东方四大邪术
韩国整容术
日本化妆术
泰国变形术
中国美图术",保密,174,2017-01-30 18:09:40,0,厌恶/讨厌
然后被告歧视黑人。。屁事真多。。,男,138,2018-12-07 20:35:27,0,平静/冷静
外国玩这个大部分是幽默搞笑的，欧美不喜欢p图，iphone拍照自带微修都被喷死了。,保密,109,2018-11-26 17:42:32,0,恐惧/害怕
我单身久了，看总统也眉清目秀的,保密,58,2018-04-14 21:48:56,1,愉快/幸福
特朗普你也有今天哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊,女,27,2018-05-03 15:22:42,1,愉快/幸福
看到封面我就发出了肛铃般的笑声hhh,女,25,2017-01-30 20:32:38,0,厌恶/讨厌
要是以后美图秀秀有二次元转三次元的能力我就去下载一个ヽ(ﾟ∀ﾟ)ﾉ,男,21,2017-05-21 18:16:06,0,愤怒/生气
中美关系毁于b站,男,16,2017-01-30 16:46:00,0,平静/冷静
封面卸妆全过程,保密,13,2018-02-09 11:25:31,0,恐惧/害怕
还好是你喝．真性情　　想说就说( ´_ゝ｀),男,3357,2017-04-25 14:22:49,0,厌恶/讨厌
不愧为段子手特朗普(ー_ー)!!,保密,2005,2017-04-25 14:32:50,0,厌恶/讨厌
2024，快了，美帝得找我们共用空间站了，虽然当年他们不肯让我们共用他们的空间站，但我们不会像某些垃圾那样没素质。,男,1161,2017-04-25 14:33:46,0,厌恶/讨厌
"伊万卡：垂帘听政不容易。
白天还要检查老爸的推特，要昨晚他乱发胡说的都给圆回来。",保密,714,2017-04-25 15:19:18,0,愤怒/生气
在太空无重力无法充血。500多天没有性生活，哈哈哈。。哈哈。。哈。我自己20年没有性生活。555,保密,264,2017-04-25 15:42:52,0,厌恶/讨厌
我一直感觉特朗普不像现实里的总统，像影视剧里的，太戏剧化了,保密,232,2017-04-30 15:48:15,0,厌恶/讨厌
我有预感，以后美国人民会膜他,保密,161,2017-07-02 18:06:44,0,悲伤/痛苦
这个宇航员上去之前国家还正常，一下来整个人都懵了╮(￣▽￣)╭,保密,139,2017-04-25 19:53:29,1,悲伤/痛苦
我第一眼看成“还是你的好喝”……我是不是没救了,保密,120,2017-04-30 12:01:14,0,厌恶/讨厌
川普这个总统未来的鬼畜市场很大，我们要第一时间收到最新消息才能做鬼畜视频。,保密,65,2017-04-28 18:36:04,1,愉快/幸福
"川普:禁穆啦，禁穆啦
美国人:？
中国:......（台下掌声雷动夹带尖叫声）
欧洲:我&%$%￥
川普:踢了科米，组个会来事的惩戒骑
科米:老子要爆料
中国:@科米 明天来UC震惊部上班
川普:@俄外长 悄悄告诉你个秘密，你回去一定要告诉普老板
美外交部:泄密，不存在的，他只是吃多了发酵的葡萄说了点疯话，他与外长一直在谈内裤什么颜色好看
川普:劳资就泄密了怎么着，我堂堂总统这点权利没有么，不服你tm来打我呀
美外交部:对对，总统完全有权利这样做的
（/TДT)/
普京:抱拳了老铁
中国（台下嘘声一片并且有人卖起了火腿鸡蛋方便面，西瓜苹果矿泉水）",保密,55,2017-05-20 02:18:24,0,愤怒/生气
没有地心引力之后，拉粑粑的难度增高了……,保密,48,2017-05-01 04:51:32,0,厌恶/讨厌
宇航员：好气哦，但还是要保持微笑,男,38,2017-04-26 07:18:43,1,愉快/幸福
川普这人有点可爱，想到什么就说什么了，真性情,保密,35,2017-05-02 09:12:07,0,厌恶/讨厌
社会我川哥，人狠话贼多！,保密,34,2017-04-25 22:33:55,0,愉快/幸福
右边那个宇航员需要脉动回来(｀・ω・´),男,32,2017-06-02 23:06:35,0,愉快/幸福
宇航员心里:我只能拿着给希拉里的选票聊以自慰。,保密,30,2017-05-01 14:15:06,0,厌恶/讨厌
女儿:我就尴尬的笑笑,保密,23,2017-04-27 00:26:36,0,悲伤/痛苦
太空站的净化水只会比你喝的自来水更干净，你的自来水的的来源我就不说了,保密,19,2018-02-12 15:58:25,0,悲伤/痛苦
这么诚实的总统哪里找啊，美国人民太不珍惜了。,保密,19,2017-04-25 17:17:46,0,厌恶/讨厌
乳美了,男,620,2020-01-14 10:42:35,0,恐惧/害怕
这标题我怀疑你在骂人[doge],男,379,2020-01-14 10:43:14,0,愤怒/生气
观察川普……对不起，走错了,保密,266,2020-01-14 10:42:45,0,悲伤/痛苦
狗狗有着欧洲的血统长在中国……带着红领带的川普也说自己有德意志血统呢(=・ω・=),男,214,2020-01-14 10:49:38,0,愤怒/生气
为什么没有人打分？[doge],保密,183,2020-01-14 11:05:52,0,愤怒/生气
"川普（四川普通话的简称）
川普（英语trump幻听）",保密,125,2020-01-14 10:45:09,0,平静/冷静
哎哟喂这个口音怎么这么招人稀罕涅[喜欢],保密,95,2020-01-14 10:56:51,0,愤怒/生气
观察警犬网，不好意思，走错了[妙啊],保密,51,2020-01-14 10:42:02,0,悲伤/痛苦
特朗普？[小电视_害羞]同志，你暴露了[小电视_害羞],男,35,2020-01-14 10:50:49,0,悲伤/痛苦
我以为特朗普呢[偷笑],保密,23,2020-01-14 10:48:39,0,悲伤/痛苦
废青们，看看人家,保密,17,2020-01-14 11:32:04,0,平静/冷静
总之一句话，只要放我出切，逗是三等功~~~~抓几个偷油婆没得啥子问题~~[doge],男,7,2020-01-14 11:42:49,0,悲伤/痛苦
观察动物。。。告辞，打扰了[doge],保密,7,2020-01-14 10:42:56,0,愉快/幸福
我第一反应是驻港军犬和川普发生了什么事情[捂脸],男,5,2020-01-14 16:20:22,0,悲伤/痛苦
"川普（✘）
川普（✔）",男,5,2020-01-14 11:36:27,1,厌恶/讨厌
我的眼里只看到了....军犬川普[微笑],保密,4,2020-01-14 12:51:36,0,厌恶/讨厌
漂亮的幺妹儿[奸笑][奸笑][奸笑][奸笑],保密,4,2020-01-14 10:45:42,0,悲伤/痛苦
我想看小口红……诶我走错路了,保密,2,2020-01-14 11:48:21,0,厌恶/讨厌
这是一条好狗(确信)[吃瓜],保密,2,2020-01-14 11:34:18,0,愉快/幸福
这标题有歧义啊[doge] 究竟是川普（trump版自白）还是川普（四川普通话版）自白,男,2,2020-01-14 11:14:45,0,厌恶/讨厌
没想到，书里写的殖民地时期现在我竟然可以亲眼看到。更没想到的是，阿美利加联居然是劫富的，我很欣慰[doge],女,5979,2019-12-06 16:09:41,1,愉快/幸福
安倍酱~钱滴~我滴需要~你滴给我滴干活,保密,1792,2019-12-06 15:48:35,1,愉快/幸福
中国是少数站着把钱赚了的国家,保密,5591,2019-12-06 15:48:25,0,希望/期待
不应该是，隔壁棒子被涨了五倍，到这才四倍，啥意思，还不如一个二狗子，强烈要求再涨[滑稽],保密,2021,2019-12-06 16:12:24,0,厌恶/讨厌
川普可以尝试发起水滴筹，或者上拼多多上安倍给砍一刀，也不能太难为人家不是？[微笑],男,763,2019-12-07 11:08:21,0,愤怒/生气
川普：安倍桑，你滴钱地大大的有！我要拿走！,保密,1237,2019-12-06 17:20:22,0,悲伤/痛苦
我 美国 打钱,男,525,2019-12-06 15:46:47,0,愉快/幸福
我觉得特朗普是故意的，商人砍价的套路：我先出一个离谱的高价，然后一点点砍下来，直到双方都能接受的价格。,男,398,2019-12-06 19:20:56,0,厌恶/讨厌
"美国:这回军费要涨价了，要涨原来的4倍！
日本:啥？要涨10倍？
美国:不是10倍，而是4倍！！
日本:啥？24倍？
美国:不是24倍!其实是4倍！！！
日本：啥？74倍？？？
美国:不是啦！就是4倍嘛！
日本:9……94倍？？？？
美国:…………对，94倍[滑稽][滑稽][滑稽][滑稽]",男,449,2019-12-12 13:56:13,0,愤怒/生气
"我滴，白来滴。
钱滴，他滴付。
水烟壶也是我滴[doge]",男,332,2019-12-06 16:28:34,1,悲伤/痛苦
独立自主，这简单的四个字有多少国家能够做到?[微笑],男,298,2019-12-06 18:26:06,1,平静/冷静
川建国:小安子，该交保护费了[阴险],男,200,2019-12-06 15:48:19,0,悲伤/痛苦
我以前以为这种国家元首之间的对话都是迂回婉转的，别人很难猜透其中的意思的，原来可以这么直白呀！,女,183,2019-12-06 18:34:26,0,厌恶/讨厌
到处要钱？[无语],男,117,2019-12-06 15:47:04,0,愤怒/生气
性感川普，在线要钱,男,56,2019-12-06 15:58:14,0,悲伤/痛苦
哪里说日语了,保密,30,2022-04-01 02:51:51,0,厌恶/讨厌
为自己出生在一个真正意义上享有主权的国家而自豪。 [2233娘_耶],男,18,2020-01-02 21:47:15,1,愉快/幸福
一开口就是老二次元了,保密,11,2019-12-06 16:20:12,0,恐惧/害怕
埋伏他一手 军费超级加倍,保密,11111,2019-12-06 15:48:34,0,希望/期待
"🙌没有人
👐比我
👌更懂
☝表情管理
[doge]",男,19425,2020-04-28 10:05:28,0,悲伤/痛苦
投稿类型为【搞笑区】，这才是正确打开方式[doge],男,5714,2020-04-28 10:06:05,1,愉快/幸福
我不知道表情管理，但我懂时间管理[doge],保密,7290,2020-04-28 10:06:21,0,恐惧/害怕
特朗普 男 出生日期:1946年6月13日出生于中国某地区(机密) 现任美国总统 我国著名间谍 研究方向:如何快速搞垮美国、怎么造成美国金融危机、如何输掉三场战争、美元世界霸权地位的丧失等等(其他涉嫌机密，我就不透露更多了),保密,3437,2020-04-28 10:06:51,0,愤怒/生气
u1s1 川普的英语是我听过最简单易懂的欧美领导人发言 词汇简单到令人发指 老让我有种我英语还挺不错的错觉[doge],女,1425,2020-04-29 05:23:22,1,愤怒/生气
观察……噢看错了，等等，你怎么盗别人视频[热词系列_知识增加],男,1151,2020-04-28 10:12:36,0,愤怒/生气
注射消毒剂到人体里消灭病毒这个想法 真是医学鬼才 合着和往死里喝酒也能消灭病毒呗[doge][doge][doge],保密,595,2020-04-29 04:33:37,0,悲伤/痛苦
世界上有两种男人不能信，一种黑眼圈的，一种白眼圈的,保密,387,2020-04-29 01:50:09,0,厌恶/讨厌
我可以比每个在任过的美国总统更像个皇帝[doge],保密,945,2020-04-28 10:09:22,1,平静/冷静
"📞特朗普向您发起了 表情管理

🔘接受             ⚪  同意",男,1090,2020-04-28 10:12:50,0,愤怒/生气
那日本首相叫啥来着，完全忘了[笑哭]话说，他那表情，感觉是要说一句，阿西吧[吃瓜],保密,809,2020-04-28 10:40:18,0,厌恶/讨厌
美国已经100万了 强烈要求当初预测美国疫情不会失控的督公女装 [星星眼],保密,409,2020-04-28 11:27:28,0,厌恶/讨厌
"[洛天依_阴阳先生]没人
[洛天依_滑稽]比我
[洛天依_看透一切]更懂
[洛天依_吃药]表情[doge]",保密,211,2020-04-28 10:05:50,0,愤怒/生气
特朗普背后的人怕是最难的一届,男,143,2020-04-28 22:45:21,0,厌恶/讨厌
"个人觉得：特朗普是一个“好”总统！他把之前几任总统加的压制中国发展的“群”全都退了...（当年的奥巴马是有打算和俄罗斯一起联合的）其实，在这一次的疫情中，特朗普干了很多不是人事的事，但是他也是在变相的把欧盟甚至美洲的一些国家在往中国“推”...还有华为5G这个事，如果不是他那么大肆宣扬的打压华为5G，其实有些地方还不知道华为5G的事（毕竟他们的媒体要压住中国的一些正面新闻不让报的）...
有的时候，不得不对特朗普说一声“谢谢”[抠鼻]",男,135,2020-05-02 18:34:13,0,惊讶/震惊
表情管理，我们是专业的[doge],保密,123,2020-04-28 10:04:57,0,平静/冷静
讲真的 如果他不从政 他这么天生搞笑 我会粉上他的 但是他这个样子我....还有什么话说吗？[呆]（语言组织凝固）,保密,98,2020-04-30 18:33:27,0,厌恶/讨厌
标签：搞笑、逗比、表情包[doge],女,62,2020-04-28 10:42:47,0,悲伤/痛苦
看了和安倍握手那一段，我觉得这是我这一生第一次同情安倍,保密,53,2020-05-01 21:01:07,0,愤怒/生气
全球至尊顶级手风琴大师,男,50,2020-04-28 10:38:38,1,平静/冷静
川普：五星红旗在我心,保密,1087,2017-04-18 11:09:53,1,愉快/幸福
身在操鹰心在汉。,保密,696,2017-04-18 11:31:00,1,羞耻
川普：你们以为我是忘了吗？我是本不愿意行这些礼啊！我是光荣的无产阶。。。咳咳咳，我是有钱的帝国总统，我喜欢我任性。。╮(￣▽￣)╭,男,467,2017-04-18 11:15:57,0,愤怒/生气
(=・ω・=)草，差点暴露了,保密,63,2017-04-18 21:32:00,0,厌恶/讨厌
洋装虽然穿在身，我心依然是中国心,保密,25,2017-04-18 16:30:22,1,悲伤/痛苦
终于赢了暗中观察网一次！(｀・ω・´),男,21,2017-04-18 16:44:55,0,恐惧/害怕
川普：我以为他们在像我敬礼,男,20,2017-04-20 23:46:56,0,恐惧/害怕
特朗普同志刚刚就任听美国国歌可能好不太习惯,保密,17,2017-04-18 16:43:32,0,厌恶/讨厌
环球时报终于赢了一次,保密,16,2017-04-18 12:34:48,0,惊讶/震惊
你的良心不会痛吗.jpg 我的良心活蹦乱跳.jpg,保密,15,2017-04-19 09:46:15,0,愉快/幸福
美国自古以来就是中国神圣而不可分割的固有领土，希望美国人民尽早认识到这一点，早日回到祖国的怀抱。,保密,14,2017-04-19 00:13:37,1,希望/期待
"在我国升国旗奏国歌一般来说，少先队员举手过头，行少先队礼。
军人行齐眉军礼。
普通人行注目礼。等等，我好像发现什么不得了的东西(ﾟДﾟ≡ﾟдﾟ)!?",保密,14,2017-04-18 20:07:14,0,愤怒/生气
我国的注目礼的好处凸显了出来,保密,13,2017-04-19 19:54:39,1,悲伤/痛苦
川普每天都咬牙切齿的提醒自己是党员的身份。现在还不是最佳的时间暴漏自己（￣▽￣）（￣▽￣）（￣▽￣）,男,12,2017-04-20 23:20:43,1,悲伤/痛苦
洋装虽然穿在身，我心依然是中国心,男,11,2017-04-18 12:24:58,1,悲伤/痛苦
"洋装虽然穿在身。
我心依然是中国心。
我的祖先早已把我的一切烙上中国印",男,11,2017-04-18 12:14:57,1,愤怒/生气
五星红旗在我心233333333,保密,10,2017-04-18 11:44:37,1,愉快/幸福
笑死了，他女儿还打他一下提醒他,男,9,2017-04-19 06:11:02,0,愤怒/生气
他以为所有人都在向他敬礼,男,8,2017-04-23 16:03:27,1,愉快/幸福
你这种人心里就没有党！没有人民！没有党性！,男,8,2017-04-18 20:28:40,0,愤怒/生气
一边对中国实施高科技制裁一边要求平等进入中国市场 老美做的好白日梦,保密,85,2019-01-29 19:24:07,1,愉快/幸福
仅从金融从业者的观点来看，我不喜欢川普，有些评论站在美国的角度看事，殊不知所有对美国利好的事情都是对他国的残忍剥削，流向美国的无数热钱，是建立在他国经济萧条和牺牲他国人民的利益的基础之上，我看到，只有中国政府用强大的权利遏制美元环流，防止中国人民被一下就割完韭菜，并在积极的寻找解决之法，却在这里被一些人吐槽没用、不作为。真不知道你是中国人还是美国人，川普继续执政，继续收割他国人的利益，你作为被收割者难道还要拍手叫好？真是恐怖，想来这就是精神美国人的典型了。,保密,63,2019-01-30 19:55:25,0,厌恶/讨厌
民主很伟大，但中国不要西方诠释的民主，我们是特色民主。,保密,23,2019-01-29 18:07:12,1,平静/冷静
房产巨子，政治侏儒……,保密,22,2019-01-29 11:54:49,0,厌恶/讨厌
特朗普时代的美国 股市创新高，失业率降最低，无数热钱流向美国，而他自己的财富却缩水了百分之15，总而言之，数据说话，特朗普是少有的好总统，CNN，马杜罗，中国，哪一个面对特总时不服软的,保密,9,2019-01-30 11:10:03,0,厌恶/讨厌
中国发展不偷不抢不侵略，从最苦的活干起，老老实实干活兢兢业业学习，然后其他人看见你发展的好紧张了嫉妒了，反而是中国的错误喽？,保密,7,2019-01-31 03:38:39,0,悲伤/痛苦
视频里国际关系那个，是中国人吗？好恶心！还有那个耶鲁的，完全就是站在自己的角度要求中国干嘛？美国呢？,保密,7,2019-01-30 23:47:32,0,愤怒/生气
我觉得这些学者就叫学者就好！不应该叫专家！,保密,7,2019-01-30 14:57:01,0,愤怒/生气
中国复兴，势必影响美国的利益，毕竟蛋糕就这么大，中国做的再大的蛋糕，流氓美国都会想独享,保密,6,2019-01-30 04:27:01,0,愉快/幸福
说到中美我就想起了.....中美合拍.......弘扬中华文化.....多多关注....两开花两开花(=・ω・=),保密,6,2019-01-29 22:43:21,0,愉快/幸福
